[04:41:13] ARM arch=faithful schedule=cosine optimizer=adamw zloss=0.0 | vr=False ln=False hg=False | steps=2000 seed=2 tok/step=65,536
[08:54:30] step  1590/2000  ce 4.1911  lr 4.73e-04  |grad| 0.18  mem 57.4GB  tok/s 6,859
[08:56:05] step  1600/2000  ce 4.0731  lr 4.65e-04  |grad| 0.20  mem 57.4GB  tok/s 6,859
[08:57:41] step  1610/2000  ce 4.5475  lr 4.59e-04  |grad| 0.20  mem 57.4GB  tok/s 6,859
[08:59:16] step  1620/2000  ce 3.8819  lr 4.52e-04  |grad| 0.20  mem 57.4GB  tok/s 6,859
[09:00:53] step  1630/2000  ce 3.7383  lr 4.45e-04  |grad| 0.18  mem 57.4GB  tok/s 6,859
[09:02:29] step  1640/2000  ce 4.2159  lr 4.39e-04  |grad| 0.18  mem 57.4GB  tok/s 6,858
[09:04:05] step  1650/2000  ce 4.0165  lr 4.32e-04  |grad| 0.18  mem 57.4GB  tok/s 6,858
[09:05:41] step  1660/2000  ce 4.1769  lr 4.26e-04  |grad| 0.18  mem 57.4GB  tok/s 6,858
[09:07:16] step  1670/2000  ce 4.1274  lr 4.20e-04  |grad| 0.18  mem 57.4GB  tok/s 6,858
[09:08:52] step  1680/2000  ce 4.0549  lr 4.14e-04  |grad| 0.20  mem 57.4GB  tok/s 6,858
[09:10:27] step  1690/2000  ce 3.6886  lr 4.09e-04  |grad| 0.19  mem 57.4GB  tok/s 6,858
[09:12:02] step  1700/2000  ce 4.2598  lr 4.03e-04  |grad| 0.18  mem 57.4GB  tok/s 6,858
[09:13:38] step  1710/2000  ce 4.1203  lr 3.98e-04  |grad| 0.18  mem 57.4GB  tok/s 6,858
[09:15:13] step  1720/2000  ce 4.1230  lr 3.93e-04  |grad| 0.18  mem 57.4GB  tok/s 6,858
[09:16:48] step  1730/2000  ce 4.0986  lr 3.88e-04  |grad| 0.18  mem 57.4GB  tok/s 6,859
[09:18:23] step  1740/2000  ce 4.2035  lr 3.83e-04  |grad| 0.19  mem 57.4GB  tok/s 6,859
[09:19:59] step  1750/2000  ce 4.0522  lr 3.78e-04  |grad| 0.17  mem 57.4GB  tok/s 6,859
[09:20:02]   [ckpt @ 1750] -> checkpoint_treatment_seed2.pt
[09:21:38] step  1760/2000  ce 4.1554  lr 3.74e-04  |grad| 0.19  mem 57.4GB  tok/s 6,858
[09:23:13] step  1770/2000  ce 4.2059  lr 3.69e-04  |grad| 0.18  mem 57.4GB  tok/s 6,858
[09:24:48] step  1780/2000  ce 4.0661  lr 3.65e-04  |grad| 0.17  mem 57.4GB  tok/s 6,858
[09:26:24] step  1790/2000  ce 4.1062  lr 3.61e-04  |grad| 0.18  mem 57.4GB  tok/s 6,858
[09:27:59] step  1800/2000  ce 4.3440  lr 3.57e-04  |grad| 0.18  mem 57.4GB  tok/s 6,858
[09:29:34] step  1810/2000  ce 4.3081  lr 3.54e-04  |grad| 0.19  mem 57.4GB  tok/s 6,858
[09:31:10] step  1820/2000  ce 3.7252  lr 3.50e-04  |grad| 0.19  mem 57.4GB  tok/s 6,858
[09:32:45] step  1830/2000  ce 4.2930  lr 3.47e-04  |grad| 0.19  mem 57.4GB  tok/s 6,858
[09:34:20] step  1840/2000  ce 4.2559  lr 3.44e-04  |grad| 0.18  mem 57.4GB  tok/s 6,858
[09:35:56] step  1850/2000  ce 4.0588  lr 3.41e-04  |grad| 0.17  mem 57.4GB  tok/s 6,858
[09:37:31] step  1860/2000  ce 4.3292  lr 3.38e-04  |grad| 0.18  mem 57.4GB  tok/s 6,858
[09:39:07] step  1870/2000  ce 4.0529  lr 3.36e-04  |grad| 0.18  mem 57.4GB  tok/s 6,858
[09:40:42] step  1880/2000  ce 4.0727  lr 3.34e-04  |grad| 0.18  mem 57.4GB  tok/s 6,859
[09:42:17] step  1890/2000  ce 4.0747  lr 3.31e-04  |grad| 0.19  mem 57.4GB  tok/s 6,859
[09:43:52] step  1900/2000  ce 4.2425  lr 3.29e-04  |grad| 0.18  mem 57.4GB  tok/s 6,859
[09:45:27] step  1910/2000  ce 4.0078  lr 3.28e-04  |grad| 0.18  mem 57.4GB  tok/s 6,859
[09:47:02] step  1920/2000  ce 3.8813  lr 3.26e-04  |grad| 0.17  mem 57.4GB  tok/s 6,859
[09:48:37] step  1930/2000  ce 4.0376  lr 3.25e-04  |grad| 0.17  mem 57.4GB  tok/s 6,860
[09:50:13] step  1940/2000  ce 4.0564  lr 3.23e-04  |grad| 0.19  mem 57.4GB  tok/s 6,859
[09:51:48] step  1950/2000  ce 4.2078  lr 3.22e-04  |grad| 0.19  mem 57.4GB  tok/s 6,859
[09:53:24] step  1960/2000  ce 4.3097  lr 3.22e-04  |grad| 0.19  mem 57.4GB  tok/s 6,860
[09:54:59] step  1970/2000  ce 3.8094  lr 3.21e-04  |grad| 0.18  mem 57.4GB  tok/s 6,860
[09:56:34] step  1980/2000  ce 4.0710  lr 3.20e-04  |grad| 0.18  mem 57.4GB  tok/s 6,860
[09:58:10] step  1990/2000  ce 4.0076  lr 3.20e-04  |grad| 0.20  mem 57.4GB  tok/s 6,860
[09:59:45] step  2000/2000  ce 4.1330  lr 3.20e-04  |grad| 0.17  mem 57.4GB  tok/s 6,860
[09:59:54]   [eval @ 2000] val PPL=61.17
[09:59:58]   [ckpt @ 2000] -> checkpoint_treatment_seed2.pt
[10:00:01] DONE
